,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
63,CHEMBL4847211,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(CC(C)C)c3n2)cc1,active,554.5220000000003,6.885500000000007,1.0,7.0,8.522878745280337
64,CHEMBL4864576,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(Cc4cccc(S(C)(=O)=O)c4)c3n2)cc1,active,666.6310000000003,6.681300000000007,1.0,9.0,8.301029995663981
65,CHEMBL4874031,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(Cc4ccc(S(C)(=O)=O)cc4)c3n2)cc1,active,666.6310000000003,6.681300000000007,1.0,9.0,7.026872146400302
66,CHEMBL4868894,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(S(C)(=O)=O)cc3)nc21,active,475.3570000000002,4.449400000000003,1.0,7.0,6.866461091629782
67,CHEMBL4864600,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(S(C)(=O)=O)c3)nc21,active,475.3570000000002,4.449400000000003,1.0,7.0,7.657577319177793
68,CHEMBL4861488,Cn1c(=O)c(-c2ccccc2Cl)cc2cnc(Nc3cccc(S(C)(=O)=O)c3)nc21,active,440.91200000000015,3.796000000000001,1.0,7.0,7.698970004336019
69,CHEMBL4859351,Cn1c(=O)c(-c2ccc(Cl)cc2Cl)cc2cnc(Nc3cccc(S(C)(=O)=O)c3)nc21,active,475.35700000000014,4.449400000000003,1.0,7.0,6.056505484093897
70,CHEMBL4867716,Cn1c(=O)c(-c2ccc(F)cc2Cl)cc2cnc(Nc3cccc(S(C)(=O)=O)c3)nc21,active,458.90200000000016,3.935100000000002,1.0,7.0,6.661543506395395
71,CHEMBL4853711,Cn1c(=O)c(-c2cc(Cl)ccc2Cl)cc2cnc(Nc3cccc(S(C)(=O)=O)c3)nc21,active,475.3570000000002,4.449400000000003,1.0,7.0,6.136677139879544
72,CHEMBL4875011,Cc1ccc(-c2cc3cnc(Nc4cccc(S(C)(=O)=O)c4)nc3n(C)c2=O)c(Cl)c1,active,454.9390000000002,4.104420000000002,1.0,7.0,6.318758762624412
73,CHEMBL4534055,CCOC(=O)c1cc2ccccc2n1C(=O)c1ccc(C)cc1,inactive,307.34900000000005,3.8149200000000025,0.0,4.0,4.609064892896621
74,CHEMBL378112,CCOC(=O)c1cc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1,inactive,363.822,3.708400000000003,0.0,5.0,4.6307841425898575
75,CHEMBL4586513,CCOC(=O)c1cc2ccccc2n1S(=O)(=O)c1ccc(F)cc1,inactive,347.367,3.1941000000000015,0.0,5.0,4.899629454882437
76,CHEMBL1412853,Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,inactive,287.34400000000005,2.16392,1.0,5.0,4.260427655549908
77,CHEMBL1412853,Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,inactive,287.34400000000005,2.16392,1.0,5.0,4.260427655549908
78,CHEMBL1542558,COc1ccc(NC(C)=O)cc1S(=O)(=O)Nc1ccc(OCc2ccccc2)cc1,inactive,426.49400000000014,4.033400000000003,2.0,5.0,4.779891911959945
79,CHEMBL1700382,COc1ccc(C(=O)Nc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,inactive,391.85800000000006,4.998900000000004,1.0,4.0,4.698970004336019
80,CHEMBL1717950,O=C(Nc1nc2ccccc2n1Cc1ccccc1Cl)c1cccs1,inactive,367.86100000000005,5.051800000000003,1.0,4.0,4.698970004336019
81,CHEMBL1574961,O=S(=O)(Nc1nc2ccccc2[nH]1)c1ccc(Cl)cc1,inactive,307.76200000000006,3.017100000000001,2.0,3.0,4.698970004336019
